university_name,country,city,program_name,degree_level,field,language,tuition_category,tuition_amount,tuition_currency,gpa_min,application_system,deadline_month,apply_link,ranking_tier,notes
University of Manchester,UK,Manchester,BSc Computer Science – course finder,Bachelor,computer science,English,high,,GBP,,UCAS,January,https://www.manchester.ac.uk/study/undergraduate/courses/,A,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
University of Manchester,UK,Manchester,BSc Business / Management – course finder,Bachelor,business,English,high,,GBP,,UCAS,January,https://www.manchester.ac.uk/study/undergraduate/courses/,A,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
University of Manchester,UK,Manchester,BSc Data Science – course finder,Bachelor,data science,English,high,,GBP,,UCAS,January,https://www.manchester.ac.uk/study/undergraduate/courses/,A,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
University of Manchester,UK,Manchester,BEng Engineering – course finder,Bachelor,engineering,English,high,,GBP,,UCAS,January,https://www.manchester.ac.uk/study/undergraduate/courses/,A,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
University of Edinburgh,UK,Edinburgh,BSc Business / Management – course finder,Bachelor,business,English,high,,GBP,,UCAS,January,https://study.ed.ac.uk/,A,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
University of Edinburgh,UK,Edinburgh,BSc Cyber Security – course finder,Bachelor,cybersecurity,English,high,,GBP,,UCAS,January,https://study.ed.ac.uk/,A,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
University of Edinburgh,UK,Edinburgh,BSc Artificial Intelligence – course finder,Bachelor,AI,English,high,,GBP,,UCAS,January,https://study.ed.ac.uk/,A,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
University of Edinburgh,UK,Edinburgh,BSc Computer Science – course finder,Bachelor,computer science,English,high,,GBP,,UCAS,January,https://study.ed.ac.uk/,A,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
University of Warwick,UK,Coventry,BSc Cyber Security – course finder,Bachelor,cybersecurity,English,high,,GBP,,UCAS,January,https://warwick.ac.uk/study/undergraduate/,A,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
University of Warwick,UK,Coventry,BSc Data Science – course finder,Bachelor,data science,English,high,,GBP,,UCAS,January,https://warwick.ac.uk/study/undergraduate/,A,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
University of Warwick,UK,Coventry,BEng Engineering – course finder,Bachelor,engineering,English,high,,GBP,,UCAS,January,https://warwick.ac.uk/study/undergraduate/,A,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
University of Warwick,UK,Coventry,BSc Business / Management – course finder,Bachelor,business,English,high,,GBP,,UCAS,January,https://warwick.ac.uk/study/undergraduate/,A,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
University of Bristol,UK,Bristol,BSc Data Science – course finder,Bachelor,data science,English,high,,GBP,,UCAS,January,https://www.bristol.ac.uk/study/undergraduate/,A,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
University of Bristol,UK,Bristol,BSc Artificial Intelligence – course finder,Bachelor,AI,English,high,,GBP,,UCAS,January,https://www.bristol.ac.uk/study/undergraduate/,A,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
University of Bristol,UK,Bristol,BSc Computer Science – course finder,Bachelor,computer science,English,high,,GBP,,UCAS,January,https://www.bristol.ac.uk/study/undergraduate/,A,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
University of Bristol,UK,Bristol,BSc Cyber Security – course finder,Bachelor,cybersecurity,English,high,,GBP,,UCAS,January,https://www.bristol.ac.uk/study/undergraduate/,A,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
University of Glasgow,UK,Glasgow,BSc Artificial Intelligence – course finder,Bachelor,AI,English,high,,GBP,,UCAS,January,https://www.gla.ac.uk/undergraduate/,A,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
University of Glasgow,UK,Glasgow,BEng Engineering – course finder,Bachelor,engineering,English,high,,GBP,,UCAS,January,https://www.gla.ac.uk/undergraduate/,A,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
University of Glasgow,UK,Glasgow,BSc Business / Management – course finder,Bachelor,business,English,high,,GBP,,UCAS,January,https://www.gla.ac.uk/undergraduate/,A,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
University of Glasgow,UK,Glasgow,BSc Data Science – course finder,Bachelor,data science,English,high,,GBP,,UCAS,January,https://www.gla.ac.uk/undergraduate/,A,"Click official link to confirm exact programme title, language, fees, and deadlines for your applicant type."
